confidence_threshold,gate_confidence_threshold,command_confidence_threshold,activation_margin_threshold,vote_window,vote_min_count,switch_confidence_boost,command_success_rate,false_trigger_rate,false_release_rate,total_clip_count,action_clip_count,continue_clip_count,release_command_clip_count
0.82,0.9,0.8,0.08,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.9,0.8,0.12,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.9,0.84,0.08,3,3,0.06,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.9,0.84,0.08,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.9,0.84,0.12,3,3,0.06,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.9,0.84,0.12,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.8,0.08,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.8,0.12,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.84,0.08,3,3,0.06,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.84,0.08,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.84,0.12,3,3,0.06,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.86,0.9,0.84,0.12,3,3,0.1,0.7647058823529411,0.23529411764705882,0.0,17,6,9,2
0.82,0.86,0.8,0.08,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.8,0.12,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.84,0.08,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.84,0.08,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.84,0.12,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.84,0.12,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.9,0.8,0.08,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.9,0.8,0.12,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.8,0.08,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.8,0.12,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.84,0.08,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.84,0.08,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.84,0.12,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.86,0.84,0.12,3,3,0.1,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.9,0.8,0.08,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.86,0.9,0.8,0.12,3,3,0.06,0.7058823529411765,0.29411764705882354,0.0,17,6,9,2
0.82,0.86,0.8,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.8,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.8,0.08,3,3,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.8,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.8,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.8,0.12,3,3,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.84,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.84,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.84,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.86,0.84,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.8,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.8,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.8,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.8,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.84,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.84,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.84,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.82,0.9,0.84,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.08,3,3,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.8,0.12,3,3,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.84,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.84,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.84,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.86,0.84,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.8,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.8,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.8,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.8,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.84,0.08,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.84,0.08,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.84,0.12,3,2,0.06,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
0.86,0.9,0.84,0.12,3,2,0.1,0.6470588235294118,0.35294117647058826,0.0,17,6,9,2
